================================================================================
SEASON 1 - RIDER POSITION REPORT
Each rider's current position in the seasonal standings
================================================================================

Total Riders in Season 1 Standings: 2207

--------------------------------------------------------------------------------------------------------------
Position  Rider Name                    Team                ARR   Events  Points  Type
493rd     Augusto Embalo                Krowen              694   1       75      Bot
494th     Noel Bennett                  Independent         1050  1       75      Bot
495th     Edwardo Hobbs                 eVOX                799   1       75      Bot
496th     Gretchen Wallace              Systech             769   2       75      Bot
497th     Emiliano Ceccarelli           Zonkify             1222  2       75      Bot
498th     Rune Martin                   Independent         746   2       75      Bot
499th     William Samuelu               Patriot             1041  2       75      Bot
500th     Noah Leclercq                 Independent         865   1       74      Bot
501st     Christian Schumann            Independent         634   1       74      Bot
502nd     Eemil Mäkelä                  Saint               1088  1       74      Bot
503rd     Isabella Rossi                Hinal               717   1       74      Bot
504th     Elisa Marchese                Hector              491   1       74      Bot
505th     Alejandro Giraldo             Independent         857   1       74      Bot
506th     Ludovic Ceccarelli            Ampex               866   1       74      Bot
507th     Raymonde Thomas               Capital             548   2       74      Bot
508th     Yousef Ansari                 Sherpa              934   2       74      Bot
509th     Tommie Lloyd                  Independent         939   1       73      Bot
510th     Doris Taitano                 Independent         667   1       73      Bot
511th     Duncan Burke                  Independent         1202  1       73      Bot
512th     Linglu Sim                    Independent         625   1       73      Bot
513th     Alfreda Ruiz                  Independent         595   1       73      Bot
514th     Zione Kamanga                 Independent         876   1       73      Bot
515th     Herman Hoffman                True Form           971   1       73      Bot
516th     Radmila Mijušković            Saitama             623   2       73      Bot
517th     Birgit S                      WATTFabrik          813   2       73      Human
518th     Kentaro Gotō                  Independent         1185  2       73      Bot
519th     Dietmar Lindner               Formix              1114  1       72      Bot
520th     Latifa Hajar                  Independent         1006  1       72      Bot
